id,Country,enrollment,Time,Population,Enrollment_per_1000
MOZ,Mozambique,7656055.0,2022-01-01,33897350.0,225.86
MWI,Malawi,4287328.0,2022-01-01,20931750.0,204.82
NRU,Nauru,1896.0,2022-01-01,10824.0,175.17
TLS,Timor-Leste,222582.0,2022-01-01,1360600.0,163.59
KIR,Kiribati,18522.0,2022-01-01,119449.0,155.06
TUN,Tunisia,1321163.0,2022-01-01,12458220.0,106.05
ATG,Antigua and Barbuda,9943.0,2019-01-01,94300.0,105.44
CUW,Curaçao,13624.0,2022-01-01,147860.0,92.14
MNG,Mongolia,237183.0,2022-01-01,3278290.0,72.35
TUV,Tuvalu,719.0,2022-01-01,11792.0,60.97
GAB,Gabon,145657.0,2021-01-01,2436570.0,59.78
ISR,Israel,576882.0,2022-01-01,9756700.0,59.13
PRK,Democratic People's Republic of Korea,1507780.0,2018-01-01,26160820.0,57.64
GHA,Ghana,1962064.0,2022-01-01,34121990.0,57.5
GMB,Gambia,130952.0,2022-01-01,2416668.0,54.19
PER,Peru,1637461.0,2022-01-01,32971854.0,49.66
KNA,Saint Kitts and Nevis,2353.0,2021-01-01,47760.0,49.27
VUT,Vanuatu,15075.0,2022-01-01,307145.0,49.08
KAZ,Kazakhstan,867592.0,2022-01-01,18776707.0,46.21
SWE,Sweden,470842.0,2022-01-01,10636630.0,44.27
LVA,Latvia,81578.0,2022-01-01,1881750.0,43.35
POL,Poland,1472572.0,2022-01-01,36685850.0,40.14
VNM,Viet Nam,3863032.0,2022-01-01,97338579.0,39.69
MDV,Maldives,20574.0,2022-01-01,521020.0,39.49
UZB,Uzbekistan,1321358.0,2022-01-01,33469203.0,39.48
ZWE,Zimbabwe,654979.0,2022-01-01,16665410.0,39.3
KGZ,Kyrgyzstan,255489.0,2022-01-01,6524195.0,39.16
UKR,Ukraine,1695406.0,2022-01-01,43733762.0,38.77
GEO,Georgia,154501.0,2022-01-01,3989167.0,38.73
NIC,Nicaragua,254104.0,2022-01-01,6624554.0,38.36
LTU,Lithuania,108815.0,2022-01-01,2871900.0,37.89
GTM,Guatemala,670152.0,2022-01-01,17915568.0,37.41
PNG,Papua New Guinea,385983.0,2018-01-01,10329930.0,37.37
BEL,Belgium,432236.0,2022-01-01,11822590.0,36.56
COL,Colombia,1900866.0,2022-01-01,52085170.0,36.5
URY,Uruguay,122386.0,2022-01-01,3423110.0,35.75
PAK,Pakistan,8554132.0,2022-01-01,240485660.0,35.57
BLR,Belarus,334703.0,2022-01-01,9449323.0,35.42
GNQ,Equatorial Guinea,60253.0,2019-01-01,1714670.0,35.14
ECU,Ecuador,617602.0,2022-01-01,17643054.0,35.01
FRA,France,2382406.0,2022-01-01,68170230.0,34.95
NPL,Nepal,1010195.0,2022-01-01,29136808.0,34.67
MDG,Madagascar,959031.0,2022-01-01,27691018.0,34.63
ARG,Argentina,1610554.0,2022-01-01,46654580.0,34.52
FIN,Finland,189808.0,2022-01-01,5584260.0,33.99
SYC,Seychelles,3325.0,2022-01-01,98347.0,33.81
CZE,Czechia,365982.0,2022-01-01,10873690.0,33.66
BGR,Bulgaria,214847.0,2022-01-01,6430370.0,33.41
CHN,China,48057327.0,2022-01-01,1439323776.0,33.39
SVK,Slovakia,179253.0,2022-01-01,5426740.0,33.03
MEX,Mexico,4160975.0,2022-01-01,128455570.0,32.39
HUN,Hungary,309976.0,2022-01-01,9589870.0,32.32
CUB,Cuba,359693.0,2022-01-01,11326616.0,31.76
PSE,Palestine,160737.0,2022-01-01,5101414.0,31.51
ISL,Iceland,12395.0,2022-01-01,393600.0,31.49
PLW,Palau,563.0,2022-01-01,18094.0,31.12
NOR,Norway,170810.0,2022-01-01,5519590.0,30.95
ETH,Ethiopia,3547764.0,2022-01-01,114963588.0,30.86
DNK,Denmark,183076.0,2022-01-01,5946950.0,30.78
MDA,Republic of Moldova,123476.0,2022-01-01,4033963.0,30.61
DEU,Germany,2580218.0,2022-01-01,84482270.0,30.54
PRY,Paraguay,217484.0,2022-01-01,7132538.0,30.49
SLV,El Salvador,196574.0,2022-01-01,6486205.0,30.31
TCA,Turks and Caicos Islands,1168.0,2022-01-01,38717.0,30.17
BOL,Bolivia (Plurinational State of),351531.0,2022-01-01,11673021.0,30.11
LBN,Lebanon,204079.0,2022-01-01,6825445.0,29.9
AUT,Austria,272225.0,2022-01-01,9132380.0,29.81
CHL,Chile,582464.0,2022-01-01,19629590.0,29.67
AIA,Anguilla,275.0,2022-01-01,9430.0,29.16
HRV,Croatia,111728.0,2022-01-01,3853200.0,29.0
LAO,Lao People's Democratic Republic,210033.0,2022-01-01,7275560.0,28.87
LUX,Luxembourg,18850.0,2022-01-01,668610.0,28.19
JAM,Jamaica,83356.0,2022-01-01,2961167.0,28.15
SVN,Slovenia,59244.0,2022-01-01,2120940.0,27.93
MAC,"China, Macao Special Administrative Region",18109.0,2022-01-01,649335.0,27.89
MYS,Malaysia,898972.0,2022-01-01,32365999.0,27.78
GRD,Grenada,3485.0,2022-01-01,126180.0,27.62
TGO,Togo,228223.0,2022-01-01,8278724.0,27.57
RWA,Rwanda,355325.0,2022-01-01,12952218.0,27.43
ROU,Romania,517898.0,2022-01-01,19056120.0,27.18
NLD,Netherlands,480025.0,2022-01-01,17879490.0,26.85
MNE,Montenegro,16731.0,2022-01-01,628066.0,26.64
GUY,Guyana,20432.0,2023-01-01,786552.0,25.98
DOM,Dominican Republic,281274.0,2022-01-01,10847910.0,25.93
TZA,United Republic of Tanzania,1543843.0,2022-01-01,59734218.0,25.85
GIB,Gibraltar,866.0,2022-01-01,33691.0,25.7
SRB,Serbia,169578.0,2022-01-01,6618030.0,25.62
CRI,Costa Rica,133066.0,2022-01-01,5212170.0,25.53
ALB,Albania,72384.0,2022-01-01,2837743.0,25.51
MCO,Monaco,987.0,2022-01-01,39242.0,25.15
VCT,Saint Vincent and the Grenadines,2773.0,2022-01-01,110940.0,25.0
USA,United States of America,8297381.31182,2022-01-01,334914900.0,24.77
ESP,Spain,1192263.0,2022-01-01,48373340.0,24.65
PRT,Portugal,259030.0,2022-01-01,10525350.0,24.61
AND,Andorra,1896.0,2022-01-01,77265.0,24.54
TON,Tonga,2586.0,2022-01-01,105695.0,24.47
ABW,Aruba,2564.0,2022-01-01,106280.0,24.12
GBR,United Kingdom of Great Britain and Northern Ireland,1636250.13777,2022-01-01,68350000.0,23.94
PAN,Panama,102953.0,2022-01-01,4314767.0,23.86
TKM,Turkmenistan,155106.0,2022-01-01,6516100.0,23.8
BRA,Brazil,5093075.0,2022-01-01,216422450.0,23.53
BRN,Brunei Darussalam,10282.0,2022-01-01,437479.0,23.5
COK,Cook Islands,412.0,2022-01-01,17564.0,23.46
MAR,Morocco,862551.0,2022-01-01,36910560.0,23.37
THA,Thailand,1625720.0,2022-01-01,69799978.0,23.29
WSM,Samoa,4560.0,2022-01-01,198414.0,22.98
LBR,Liberia,123876.0,2022-01-01,5418380.0,22.86
MHL,Marshall Islands,951.0,2022-01-01,42000.0,22.64
CMR,Cameroon,596197.0,2022-01-01,26545863.0,22.46
ITA,Italy,1319456.0,2022-01-01,58761150.0,22.45
JPN,Japan,2779185.0,2022-01-01,124516650.0,22.32
AUS,Australia,588248.0,2022-01-01,26638540.0,22.08
AZE,Azerbaijan,222726.0,2022-01-01,10139177.0,21.97
MRT,Mauritania,106378.0,2023-01-01,4862990.0,21.88
TUR,Türkiye,1859805.0,2022-01-01,85326000.0,21.8
AGO,Angola,799202.0,2022-01-01,36684200.0,21.79
SMR,San Marino,738.0,2022-01-01,33931.0,21.75
SLE,Sierra Leone,170518.0,2022-01-01,7976983.0,21.38
HKG,"China, Hong Kong Special Administrative Region",158014.0,2022-01-01,7496981.0,21.08
HND,Honduras,206634.0,2022-01-01,9904607.0,20.86
CHE,Switzerland,182157.0,2022-01-01,8849850.0,20.58
BGD,Bangladesh,3383726.0,2022-01-01,164689383.0,20.55
CYM,Cayman Islands,1348.0,2022-01-01,65722.0,20.51
CYP,Cyprus,25676.0,2022-01-01,1260140.0,20.38
NIU,Niue,33.0,2022-01-01,1626.0,20.3
IND,India,27630741.0,2022-01-01,1380004385.0,20.02
LSO,Lesotho,46622.0,2022-01-01,2330320.0,20.01
PHL,Philippines,2179892.0,2022-01-01,109581078.0,19.89
LKA,Sri Lanka,431678.0,2022-01-01,22037000.0,19.59
IRL,Ireland,102720.0,2022-01-01,5262380.0,19.52
KOR,Republic of Korea,1005862.0,2022-01-01,51712620.0,19.45
NZL,New Zealand,101187.0,2022-01-01,5223100.0,19.37
NAM,Namibia,50403.0,2022-01-01,2604170.0,19.35
FJI,Fiji,17221.0,2022-01-01,896445.0,19.21
MUS,Mauritius,23776.0,2022-01-01,1271768.0,18.7
TTO,Trinidad and Tobago,25483.0,2022-01-01,1399488.0,18.21
ARM,Armenia,53611.0,2022-01-01,2963234.0,18.09
SGP,Singapore,106757.0,2022-01-01,5917650.0,18.04
DMA,Dominica,1285.0,2022-01-01,71986.0,17.85
GRC,Greece,178203.0,2022-01-01,10361300.0,17.2
MLT,Malta,9344.0,2022-01-01,553210.0,16.89
IDN,Indonesia,4590532.0,2022-01-01,273523615.0,16.78
SEN,Senegal,280586.0,2022-01-01,16743927.0,16.76
BHR,Bahrain,28256.0,2022-01-01,1701575.0,16.61
OMN,Oman,83766.0,2022-01-01,5106626.0,16.4
QAT,Qatar,46532.0,2022-01-01,2881053.0,16.15
BWA,Botswana,41539.0,2022-01-01,2675350.0,15.53
ARE,United Arab Emirates,153634.0,2023-01-01,9890402.0,15.53
KHM,Cambodia,258265.0,2022-01-01,16718965.0,15.45
MKD,North Macedonia,27721.0,2022-01-01,1811980.0,15.3
BRB,Barbados,4351.0,2022-01-01,287375.0,15.14
ERI,Eritrea,55627.0,2022-01-01,3748900.0,14.84
LIE,Liechtenstein,587.0,2021-01-01,39580.0,14.83
FSM,Micronesia (Federated States of),1692.0,2022-01-01,115220.0,14.68
BTN,Bhutan,11247.0,2022-01-01,787420.0,14.28
MLI,Mali,284127.0,2023-01-01,20250833.0,14.03
CAN,Canada,558510.0,2022-01-01,40097760.0,13.93
JOR,Jordan,140928.0,2022-01-01,10203134.0,13.81
VGB,British Virgin Islands,432.0,2022-01-01,31540.0,13.7
BLZ,Belize,5426.0,2022-01-01,397628.0,13.65
COM,Comoros,11767.0,2023-01-01,869601.0,13.53
SAU,Saudi Arabia,486157.0,2022-01-01,36947030.0,13.16
ZAF,South Africa,792383.0,2022-01-01,60414500.0,13.12
BEN,Benin,170241.0,2022-01-01,13712830.0,12.41
DZA,Algeria,550634.0,2022-01-01,44616624.0,12.34
LCA,Saint Lucia,2235.0,2022-01-01,183627.0,12.17
EGY,Egypt,1170516.0,2022-01-01,102334404.0,11.44
EST,Estonia,15386.666,2022-01-01,1366190.0,11.26
TJK,Tajikistan,102525.0,2022-01-01,9537645.0,10.75
MSR,Montserrat,365.0,2022-01-01,36300.0,10.06
COG,Congo,54304.0,2023-01-01,5518087.0,9.84
CIV,Côte d'Ivoire,257633.0,2022-01-01,26378274.0,9.77
RUS,Russian Federation,1375624.0,2023-01-01,145934462.0,9.43
BIH,Bosnia and Herzegovina,25401.0,2022-01-01,3280819.0,7.74
SYR,Syrian Arab Republic,133677.0,2022-01-01,17500658.0,7.64
NER,Niger,182415.0,2022-01-01,24206644.0,7.54
TKL,Tokelau,9.0,2023-01-01,1357.0,6.63
BFA,Burkina Faso,138668.0,2022-01-01,20903273.0,6.63
ZMB,Zambia,123689.0,2020-01-01,20569740.0,6.01
DJI,Djibouti,5487.0,2022-01-01,988000.0,5.55
BMU,Bermuda,310.0,2022-01-01,62278.0,4.98
BHS,Bahamas,1806.0,2023-01-01,393244.0,4.59
SXM,Sint Maarten (Dutch part),177.0,2022-01-01,42876.0,4.13
BDI,Burundi,52321.0,2023-01-01,13238560.0,3.95
SUR,Suriname,2151.0,2022-01-01,586634.0,3.67
GIN,Guinea,41826.0,2023-01-01,14190610.0,2.95
CAF,Central African Republic,12489.0,2017-01-01,5742310.0,2.17
TCD,Chad,31446.0,2022-01-01,16425864.0,1.91
PRI,Puerto Rico,4089.0,2023-01-01,2860853.0,1.43
SOM,Somalia,18154.0,2022-01-01,18143380.0,1.0
MMR,Myanmar,13841.0,2018-01-01,54578000.0,0.25
KWT,Kuwait,622.0,2021-01-01,4310110.0,0.14
AFG,Afghanistan,0.0,2020-01-01,42239850.0,0.0
SWZ,Eswatini,0.0,2023-01-01,1210820.0,0.0
CPV,Cabo Verde,0.0,2023-01-01,598680.0,0.0
LBY,Libya,0.0,2019-01-01,6888390.0,0.0
KEN,Kenya,0.0,2022-01-01,55100590.0,0.0
VEN,Venezuela (Bolivarian Republic of),0.0,2023-01-01,28435940.0,0.0
IRQ,Iraq,0.0,2020-01-01,45504560.0,0.0
SDN,Sudan,0.0,2018-01-01,48109010.0,0.0
SLB,Solomon Islands,0.0,2023-01-01,686884.0,0.0
NGA,Nigeria,0.0,2023-01-01,223804630.0,0.0
UGA,Uganda,0.0,2023-01-01,48582330.0,0.0
IRN,Iran (Islamic Republic of),0.0,2023-01-01,89172770.0,0.0
SSD,South Sudan,0.0,2023-01-01,11088800.0,0.0
STP,Sao Tome and Principe,0.0,2023-01-01,231860.0,0.0
COD,Democratic Republic of the Congo,0.0,2023-01-01,89561403.0,0.0
